dataset,model,clear_day_mIoU,normal_mIoU,adverse_mIoU,overall_mIoU,domain_gap
bdd10k,deeplabv3plus_r50,43.349179943463476,44.939314389397595,38.42490757034982,40.596376510032414,6.514406819047771
bdd10k,pspnet_r50,44.949071384153086,46.399619772482794,40.31570191468825,42.3436745339531,6.083917857794546
bdd10k,segformer_mit-b5,50.864814381522386,51.57310878379072,47.237938919946025,48.6829955412276,4.335169863844698
idd-aw,deeplabv3plus_r50,43.955929761951964,45.13161450853754,41.694280332725015,44.7712334448956,3.4373341758125235
idd-aw,pspnet_r50,43.15416249510353,44.20374085834284,43.048258636151175,45.22323547006205,1.1554822221916652
idd-aw,segformer_mit-b5,46.49735176312483,47.98999064001741,48.82878464330179,50.72723198372847,-0.8387940032843773
mapillaryvistas,deeplabv3plus_r50,32.901328385241555,33.27897749411965,30.19793379368657,31.4303512738598,3.0810437004330815
mapillaryvistas,pspnet_r50,33.88596918717528,34.17911336284604,30.550141485516082,32.00173023644807,3.628971877329956
mapillaryvistas,segformer_mit-b5,40.881682117645894,39.895185188473306,37.4496328417655,38.42785378044862,2.4455523467078066
outside15k,deeplabv3plus_r50,32.488818362142844,30.59627412174173,21.363384286921985,24.4410142318619,9.232889834819744
outside15k,pspnet_r50,37.18298804567307,35.173324302892055,26.999489778227748,29.724101286449184,8.173834524664308
outside15k,segformer_mit-b5,52.08180755018709,50.01495007992136,42.729171032544436,45.15776404833674,7.285779047376927
