dataset,model,model_type,domain,mIoU,aAcc,fwIoU,num_images
outside15k,pspnet_r50,full,night,43.337444272106076,81.69197510065248,72.1835620157791,87
outside15k,pspnet_r50,full,rainy,56.90447392497459,79.46647610857454,66.70236330630497,192
outside15k,pspnet_r50,full,snowy,63.731106068032695,87.02246765556598,79.15178941175687,182
outside15k,segformer_mit-b5,full,clear_day,76.35044078987909,93.36740560584322,88.01288497375165,1767
outside15k,segformer_mit-b5,full,cloudy,75.5720271498093,94.73077657114037,90.84153952680869,174
outside15k,segformer_mit-b5,full,dawn_dusk,68.86002391654658,93.92989189462962,88.97663108683396,66
outside15k,segformer_mit-b5,full,foggy,86.88434245665216,96.4007639137269,93.2131637449114,37
outside15k,segformer_mit-b5,full,night,59.16181207923425,91.26276878580019,85.61331078306445,87
outside15k,segformer_mit-b5,full,rainy,71.23737996453467,86.68275103221016,77.01701663170051,192
outside15k,segformer_mit-b5,full,snowy,67.6895353348216,89.0984809144108,82.01117384704743,182
