strategy,dataset,model,domain,mIoU,fwIoU,aAcc,mAcc,num_images
baseline,bdd10k,deeplabv3plus_r50,clear_day,43.3492,84.4589,91.2051,49.8592,1016.0
baseline,bdd10k,deeplabv3plus_r50,cloudy,46.5294,89.5424,94.1819,52.0145,230.0
baseline,bdd10k,deeplabv3plus_r50,dawn_dusk,37.5882,85.2274,91.5847,43.8038,94.0
baseline,bdd10k,deeplabv3plus_r50,night,26.2631,63.076,77.4548,32.4654,92.0
baseline,bdd10k,deeplabv3plus_r50,rainy,42.0987,81.9285,89.6601,49.4092,200.0
baseline,bdd10k,deeplabv3plus_r50,snowy,47.7497,84.0812,90.9019,56.2587,221.0
baseline,bdd10k,pspnet_r50,clear_day,44.9491,84.0457,90.9926,51.726,1016.0
baseline,bdd10k,pspnet_r50,cloudy,47.8502,89.2633,94.0366,53.4237,230.0
baseline,bdd10k,pspnet_r50,dawn_dusk,38.9422,85.245,91.6811,44.6807,94.0
baseline,bdd10k,pspnet_r50,night,27.4989,65.4004,78.6659,33.3193,92.0
baseline,bdd10k,pspnet_r50,rainy,43.2018,81.3558,89.4196,49.8352,200.0
baseline,bdd10k,pspnet_r50,snowy,51.6198,83.5183,90.6475,61.1703,221.0
baseline,bdd10k,segformer_mit-b5,clear_day,50.8648,85.9908,92.1528,58.5236,1016.0
baseline,bdd10k,segformer_mit-b5,cloudy,52.2814,90.3052,94.6341,59.1538,230.0
baseline,bdd10k,segformer_mit-b5,dawn_dusk,45.102,86.5125,92.2796,54.4571,94.0
baseline,bdd10k,segformer_mit-b5,night,34.1218,69.9074,81.8486,41.3351,92.0
baseline,bdd10k,segformer_mit-b5,rainy,50.986,84.3694,91.1992,58.5727,200.0
baseline,bdd10k,segformer_mit-b5,snowy,58.742,86.1182,92.1804,67.8215,221.0
baseline,idd-aw,deeplabv3plus_r50,clear_day,43.9559,73.0539,83.3713,54.1527,1650.0
baseline,idd-aw,deeplabv3plus_r50,cloudy,46.3073,88.5411,93.3887,55.536,416.0
baseline,idd-aw,deeplabv3plus_r50,dawn_dusk,43.3094,85.3119,91.4993,52.1706,112.0
baseline,idd-aw,deeplabv3plus_r50,foggy,56.3583,92.5191,95.9336,64.1515,290.0
