strategy,dataset,model,ratio,iteration,mIoU,aAcc,fwIoU,num_images,timestamp,mIoU_clear_day,mIoU_cloudy,mIoU_dawn_dusk,mIoU_foggy,mIoU_night,mIoU_rainy,mIoU_snowy,best_mIoU,is_best
gen_LANIT,idd-aw,deeplabv3plus_r50,0.0,80000,70.444849993163,97.84345705226023,96.03022199332118,2928,20260104_225554,70.26500322361748,72.7054828854049,60.238649709303836,69.62155969517983,59.415645758385615,62.059689718675436,55.18530239755982,70.444849993163,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.12,80000,72.23279997908168,98.11360126820686,96.49925045090508,2928,20260104_225552,71.67888212360967,74.28251689451238,64.21670515913065,71.79478635929226,65.53300302990912,65.30612245240326,57.030629256435276,72.23279997908168,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.25,80000,71.04175202421412,97.94453184378239,96.20044403416757,2928,20260104_235514,70.52696193811812,72.88114023884025,60.58680882274958,70.5812784000413,63.63881867119989,63.30797468868311,57.67756559044184,71.04175202421412,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.38,80000,73.47220916081571,98.271707782619,96.77729284104522,2928,20260104_233953,72.90244246081122,75.26635492746114,66.26883932945793,73.00630655693658,67.37764281175608,66.5616595024889,59.16790041502931,73.47220916081571,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.62,80000,71.97308028433744,98.08568568281389,96.43981662887798,2928,20260104_232833,71.3914437243232,73.76133746475035,62.63222819658798,71.75942911434558,64.47518131715697,65.40856961788771,59.523166613408684,71.97308028433744,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.75,80000,70.08659047366734,97.78527076011117,95.90781277383029,2928,20260104_233742,70.01623711136833,72.90616053909534,56.98837365874616,68.99675945320811,57.12211345604459,61.598489826671155,56.10924562824866,70.08659047366734,True
gen_LANIT,idd-aw,deeplabv3plus_r50,0.88,80000,71.1944078941445,97.95851612659607,96.23166152857851,2928,20260104_223232,70.83328724871383,73.34453923374791,60.78531880727462,70.12278145041478,63.16785739450681,63.744314292457204,55.89412727602494,71.1944078941445,True
gen_LANIT,idd-aw,pspnet_r50,0.0,80000,75.0483394431206,98.34518636959515,96.91343016432229,2928,20260104_223131,76.12103215638497,74.14096388171241,67.52608525056094,71.87326163143612,69.13533987664044,67.92529429358947,60.682973943499775,75.0483394431206,True
gen_LANIT,idd-aw,pspnet_r50,0.12,80000,78.35056901663427,98.39545161688802,96.99634659488596,2928,20260104_233025,79.39941745137533,76.772280445993,69.12855212406764,75.7474609788238,71.38611267008513,68.6995785197175,66.16334146166037,78.35056901663427,True
gen_LANIT,idd-aw,pspnet_r50,0.25,80000,73.12161801207456,98.21597807398005,96.6798425366726,2928,20260104_230652,72.90819655201311,74.60545476510293,64.90533164549946,72.79268886514944,67.27810634012134,66.40692242153298,57.85556797519499,73.12161801207456,True
gen_LANIT,idd-aw,pspnet_r50,0.38,80000,77.9007218077,98.33200078880571,96.88674996505064,2928,20260104_220829,78.91250380537615,76.31123857987473,68.28529242386323,75.32606268436197,70.03529932211498,67.37496316650679,64.5228826275928,77.9007218077,True
gen_LANIT,idd-aw,pspnet_r50,0.62,80000,75.06480335042379,98.30087490109626,96.83255566622317,2928,20260104_220759,75.94048944076545,74.92342464373252,67.0965575343416,72.97723992817801,69.5426849733677,67.24222351094637,59.546290047511455,75.06480335042379,True
gen_LANIT,idd-aw,pspnet_r50,0.75,80000,75.28973613014328,98.28111877161429,96.79560452256038,2928,20260104_214452,75.88712786821684,75.34602267340644,65.88031747495054,74.93368328962966,68.3733647652426,66.54042592490835,58.76364018650663,75.28973613014328,True
gen_LANIT,idd-aw,pspnet_r50,0.88,80000,77.53802572481263,98.39292206060225,96.99560825854792,2928,20260104_214443,77.66707247246458,77.4295031610569,66.46093689783831,74.90741123718954,70.07159246050563,68.18875728354405,65.07253782689864,77.53802572481263,True
gen_LANIT,idd-aw,segformer_mit-b5,0.0,80000,85.28920988868207,98.7754488494205,97.69459901574291,2928,20260104_223932,82.54701910525247,83.24146092739106,73.63250561297987,89.94902065949364,80.6380126960159,75.25954049216463,81.38935851138037,85.28920988868207,True
gen_LANIT,idd-aw,segformer_mit-b5,0.25,80000,84.3709898156378,98.74872332004738,97.64497469367718,2928,20260104_221626,81.68874009811856,82.56916416252649,73.97925372977178,90.46928595796874,80.30650559157196,74.19410257958012,78.80629238930221,84.3709898156378,True
gen_LANIT,idd-aw,segformer_mit-b5,0.38,80000,85.42914161766232,98.75416229090332,97.6572307204475,2928,20260104_222433,82.9419055656513,83.1731042512156,73.66046529198368,90.17235519338935,80.43840350020935,74.77820681088062,79.29438772753576,85.42914161766232,True
gen_LANIT,idd-aw,segformer_mit-b5,0.62,80000,85.15354865862608,98.75275481599702,97.6561551816047,2928,20260104_211947,83.30505290613061,83.25122698906382,73.06551151978111,89.72120564444097,80.08156921944459,75.93145648705493,77.85298239583457,85.15354865862608,True
gen_LANIT,idd-aw,segformer_mit-b5,0.75,80000,84.77620441405125,98.76363775584423,97.67270104267907,2928,20260104_211923,82.18459206614021,82.95895279199041,74.42982471497434,89.71382568467276,79.9136033706334,74.35142566248561,81.7759003097039,84.77620441405125,True
gen_LANIT,idd-aw,segformer_mit-b5,0.88,70000,84.46933417151052,98.73601955950284,97.62559259736379,2928,20260104_220738,82.06979652152405,83.29038413898635,73.38998184447388,89.6021707835325,80.57516604506358,74.0037651274126,79.44122309745075,84.46933417151052,True
