strategy,dataset,model,ratio,mIoU,mAcc,aAcc,fwIoU,timestamp,checkpoint_iter,stage
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.0,44.924419458516866,51.9508354100085,90.3547759763189,83.0103851044835,1769508463.4767566,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.12,44.168742353243076,51.05393693044583,90.16547035857303,82.76030758360206,1769508481.4468193,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.25,43.10333408774302,50.211608090361246,90.12028774281033,82.71024461588512,1769508474.1193974,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.38,44.10333072951402,50.98958986373183,90.40246338369083,83.13848940700478,1769508476.5330338,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.62,45.07687533966241,51.82232280860434,90.41385552861217,83.13831027552659,1769508493.8728886,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.75,44.95481633247474,51.75919972052054,90.45053650661744,83.15432673396599,1769508508.3379097,0,1
gen_Attribute_Hallucination,bdd10k,pspnet_r50,0.88,44.58154557645114,51.71076581530377,90.32702680950362,83.03029374586464,1769520888.5183163,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.0,50.79463607072995,58.139312804409386,91.58308306218063,85.03582380024834,1769520890.9035373,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.12,50.43911339011492,58.01082387918375,91.61290386675621,85.11846476032655,1769520889.5424285,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.25,50.65061920905683,58.13101451737687,91.72382801055181,85.27383919042141,1769520890.8365216,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.62,51.11565744923878,58.67433009348188,91.65049362339292,85.1539719705621,1769520889.6011245,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.75,50.56107593342149,58.351940624881436,91.66175910061763,85.1846086937313,1769520887.2281528,0,1
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,0.88,50.90447470293667,58.61260978773098,91.68037204935206,85.21404091453216,1769520887.3129725,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.0,38.0323082898159,47.55742053153823,82.75943117359576,72.02795783528853,1769520910.0528018,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.12,37.855248018860635,47.6555758578877,81.78032018178457,70.40829264144818,1769520910.2303073,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.25,38.24486291044637,47.838225715958174,83.38781763777901,73.07904704070351,1769520909.2760148,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.38,38.14691609612954,47.70847423878267,82.68608068304539,71.86360855491219,1769520928.4183698,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.62,37.53749583800389,47.08518697358919,81.72575220449367,70.23753748255463,1769520941.0306273,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.75,37.52819955774893,47.0598403007925,82.41964713029428,71.39148548116489,1769520934.3778415,0,1
gen_Attribute_Hallucination,iddaw,pspnet_r50,0.88,37.13439960824817,46.944038564204284,80.87839894857225,69.86486202834087,1769520930.3190322,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.0,43.38647475965162,53.31012040530737,86.36559843666781,77.48726151998954,1769520952.2242615,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.12,42.96191007358009,52.83145275258757,86.20989090138262,77.29970294556489,1769520952.17126,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.25,43.10905533874247,52.93090307131555,86.25416841144575,77.3011742442453,1769520964.0078573,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.38,43.0991801260242,52.991898651449496,86.17082052408153,77.18193708280728,1769520973.2821765,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.62,43.01826375867573,52.89929816223831,86.31844907988628,77.43902192780534,1769520974.8632176,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.75,43.281887561828675,53.142933835235674,86.37838205557992,77.53082069272304,1769520973.892425,0,1
gen_Attribute_Hallucination,iddaw,segformer_mit-b5,0.88,43.32466988911259,53.289757674738205,86.30138407787985,77.40930187412593,1769520985.9783158,0,1
gen_Img2Img,bdd10k,pspnet_r50,0.0,45.39153114351579,52.937649135881195,90.34375042261374,83.05872585968089,1769512244.8471665,0,1
