Domain,mIoU,Drop from Clear,Test Images,% of Data
Clear Day,41.05450115925843,—,22977,62.92827212225782
Dawn/Dusk,31.781733180768395,-9.3,960,2.6292005587051186
Night,26.198024956560392,-14.9,1059,2.900336866321584
Rainy,33.51986952468384,-7.5,2286,6.260783830416564
Snowy,32.26940692435761,-8.8,2157,5.907485005340564
