Dataset,Overall,Clear Day,Worst Domain,Best Domain,Gap Range
BDD10K,41.31879101048387,45.809978600576734,Night (23.2%),Snowy (49.3%),26.023692392519013
IDD-AW,29.748782722365664,43.92622548272436,Snowy (23.2%),Clear Day (43.9%),20.72291590397628
Mapillary,32.091843475377026,34.833606406931864,Snowy (29.4%),Dawn/Dusk (37.7%),8.30390714110386
OUTSIDE15K,30.089564327809114,39.64819414680078,Dawn/Dusk (20.4%),Clear Day (39.6%),19.211037130811903
