Model,Overall,Clear Day,Adverse Avg,Gap
SegFormer,40.4 ± 4.9,47.06281187198952,38.358121105555234,8.704690766434283
PSPNet,31.2 ± 6.3,39.28337720912157,28.767759071202676,10.515618137918892
DeepLabV3+,28.3 ± 7.0,36.81731439666423,25.70089576301977,11.11641863364446
