Strategy,Type,Overall mIoU,Gain vs Clear Day,Normal mIoU,Normal Gain,Adverse mIoU,Adverse Gain,Domain Gap (Δ),Gap Reduction vs Clear Day,Num Results
baseline_clear_day,Baseline Clear Day,,,,,,,,,0
baseline,Baseline Full,41.64,,42.22,,36.08,,6.14,,12
std_autoaugment,Standard Aug,45.5,,46.12,,40.35,,5.77,,12
std_randaugment,Standard Aug,44.15,,44.64,,38.7,,5.94,,12
photometric_distort,Augmentation,43.67,,44.26,,38.52,,5.74,,12
std_mixup,Standard Aug,42.87,,43.55,,37.39,,6.15,,12
std_cutmix,Standard Aug,42.63,,43.31,,37.14,,6.17,,12
