strategy,dataset,model,test_type,result_type,result_dir,timestamp,mIoU,mAcc,aAcc,fwIoU,num_images,has_per_domain,has_per_class,per_domain_metrics
gen_automold,cityscapes,mask2former_swin-b_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/mask2former_swin-b_ratio0p50/test_results_acdc/20260209_141034,20260209_141034,50.27909777116982,68.44158088498429,85.44398265759892,75.59562143462209,2003,True,True,"{'foggy': {'mIoU': 61.24751478625908, 'mAcc': 76.95477239137593, 'aAcc': 93.59061201950973, 'fwIoU': 88.68453334918233}, 'night': {'mIoU': 34.55757465889688, 'mAcc': 56.26603049820095, 'aAcc': 69.31341790155336, 'fwIoU': 52.40472317654293}, 'rainy': {'mIoU': 54.311788675259464, 'mAcc': 73.96381241275223, 'aAcc': 90.38452379078133, 'fwIoU': 84.09524948499507}, 'snowy': {'mIoU': 50.87425986777552, 'mAcc': 67.18055336513805, 'aAcc': 88.11813603750946, 'fwIoU': 80.09981902110852}}"
gen_automold,cityscapes,mask2former_swin-b_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/mask2former_swin-b_ratio0p50/test_results_detailed/20260209_213413,20260209_213413,66.0222208203759,77.77418617668775,94.56751537978298,90.43264893008116,500,True,True,"{'frankfurt': {'mIoU': 63.77422775854213, 'mAcc': 76.45468886724935, 'aAcc': 93.58644660567352, 'fwIoU': 88.88502008273655}, 'lindau': {'mIoU': 65.1085849275179, 'mAcc': 76.26931287611963, 'aAcc': 95.19211514714047, 'fwIoU': 91.27079888223808}, 'munster': {'mIoU': 69.62956526540492, 'mAcc': 81.7540097528218, 'aAcc': 95.78458792986991, 'fwIoU': 92.5171423758645}}"
gen_automold,cityscapes,pspnet_r50_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/pspnet_r50_ratio0p50/test_results_acdc/20260209_083224,20260209_083224,36.222404772461054,51.00963461491599,76.80740421568727,65.36864231426354,2003,True,True,"{'foggy': {'mIoU': 51.639664946958064, 'mAcc': 66.21800719454552, 'aAcc': 88.44091638577387, 'fwIoU': 80.85212097977931}, 'night': {'mIoU': 20.695775823449498, 'mAcc': 35.49950042541196, 'aAcc': 55.632278166404205, 'fwIoU': 41.44174023763567}, 'rainy': {'mIoU': 39.624044837336456, 'mAcc': 54.33199892920308, 'aAcc': 83.17248948280334, 'fwIoU': 75.0538385042055}, 'snowy': {'mIoU': 38.1954027307685, 'mAcc': 51.98683559889766, 'aAcc': 79.50350294484656, 'fwIoU': 66.90384076291348}}"
gen_automold,cityscapes,pspnet_r50_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/pspnet_r50_ratio0p50/test_results_detailed/20260209_111053,20260209_111053,57.67445555620648,66.7777755325795,92.00052927944485,86.00377328533241,500,True,True,"{'frankfurt': {'mIoU': 54.79775724160487, 'mAcc': 64.28668599806167, 'aAcc': 90.70160832049233, 'fwIoU': 83.96851444951962}, 'lindau': {'mIoU': 55.615592896014995, 'mAcc': 66.86465367589989, 'aAcc': 92.00109239973148, 'fwIoU': 86.10107818033102}, 'munster': {'mIoU': 58.34686962951275, 'mAcc': 66.73010142051437, 'aAcc': 93.86199215567204, 'fwIoU': 89.09888891669637}}"
gen_automold,cityscapes,segformer_mit-b3_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/segformer_mit-b3_ratio0p50/test_results_acdc/20260208_073955,20260208_073955,46.09732105748316,57.391326366721444,82.50960233689815,71.54378336869217,2003,True,True,"{'foggy': {'mIoU': 60.45836592422311, 'mAcc': 70.26124018069929, 'aAcc': 91.08873130963525, 'fwIoU': 84.5625714889176}, 'night': {'mIoU': 28.301268839777695, 'mAcc': 40.14341244483839, 'aAcc': 66.46291401256306, 'fwIoU': 48.69232432370983}, 'rainy': {'mIoU': 48.88391214016612, 'mAcc': 63.06144931856682, 'aAcc': 85.89846979656672, 'fwIoU': 78.9963919215986}, 'snowy': {'mIoU': 46.94422482855248, 'mAcc': 57.62392728149764, 'aAcc': 86.18900246122477, 'fwIoU': 77.09659917466357}}"
gen_automold,cityscapes,segformer_mit-b3_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/segformer_mit-b3_ratio0p50/test_results_detailed/20260209_111121,20260209_111121,63.46269490435083,71.98032632601343,93.20853732354253,87.9983504469776,500,True,True,"{'frankfurt': {'mIoU': 60.9595230384196, 'mAcc': 69.64793592657543, 'aAcc': 92.14528903862178, 'fwIoU': 86.29100059727782}, 'lindau': {'mIoU': 59.62531139900429, 'mAcc': 69.43081656835895, 'aAcc': 92.81428296862784, 'fwIoU': 87.3420671756564}, 'munster': {'mIoU': 62.43993299952913, 'mAcc': 70.38255620705004, 'aAcc': 94.85170625920372, 'fwIoU': 90.82262996394331}}"
gen_automold,cityscapes,segnext_mscan-b_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/segnext_mscan-b_ratio0p50/test_results_acdc/20260209_091441,20260209_091441,45.36060880466696,59.08134692467384,82.51855873298273,71.48118579202101,2003,True,True,"{'foggy': {'mIoU': 58.90476176490302, 'mAcc': 71.46329723792897, 'aAcc': 91.07759937948887, 'fwIoU': 84.47844766856535}, 'night': {'mIoU': 28.464586502191562, 'mAcc': 42.78548761986444, 'aAcc': 66.37342144081424, 'fwIoU': 48.783393286290114}, 'rainy': {'mIoU': 47.07408993064855, 'mAcc': 63.954913535702076, 'aAcc': 85.9649263816949, 'fwIoU': 79.16034597553183}, 'snowy': {'mIoU': 46.5720050752887, 'mAcc': 59.316790672582485, 'aAcc': 86.25685235398954, 'fwIoU': 76.91243462635447}}"
gen_automold,cityscapes,segnext_mscan-b_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_automold/cityscapes/segnext_mscan-b_ratio0p50/test_results_detailed/20260209_111149,20260209_111149,64.23163618706728,73.63036331504843,93.43617969337483,88.40201573171248,500,True,True,"{'frankfurt': {'mIoU': 61.961016390874754, 'mAcc': 71.75621611678869, 'aAcc': 92.28916697917187, 'fwIoU': 86.57545702454156}, 'lindau': {'mIoU': 59.134719691287685, 'mAcc': 69.14425053286809, 'aAcc': 93.7790992516983, 'fwIoU': 88.73596077187456}, 'munster': {'mIoU': 63.73415997327958, 'mAcc': 72.48521105280597, 'aAcc': 94.97632487533899, 'fwIoU': 91.04313385247697}}"
gen_cycleGAN,cityscapes,segformer_mit-b3_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_cycleGAN/cityscapes/segformer_mit-b3_ratio0p50/test_results_acdc/20260210_022008,20260210_022008,47.232888464057865,58.59527743196807,83.15715588170886,72.10167355503073,2003,True,True,"{'foggy': {'mIoU': 60.519361659319635, 'mAcc': 70.7219669582229, 'aAcc': 91.08715419785567, 'fwIoU': 84.53582515747897}, 'night': {'mIoU': 29.405935731643606, 'mAcc': 41.12791083189148, 'aAcc': 66.58579300879208, 'fwIoU': 48.7536626520239}, 'rainy': {'mIoU': 50.39447660908205, 'mAcc': 64.4464731396428, 'aAcc': 87.92155004047785, 'fwIoU': 80.72582191593376}, 'snowy': {'mIoU': 47.03760964700203, 'mAcc': 57.90805638168105, 'aAcc': 86.64422727403503, 'fwIoU': 77.36993316629336}}"
gen_cycleGAN,cityscapes,segformer_mit-b3_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_cycleGAN/cityscapes/segformer_mit-b3_ratio0p50/test_results_detailed/20260210_021947,20260210_021947,62.746185729691696,71.62201287819852,93.18711261125615,87.94038347035409,500,True,True,"{'frankfurt': {'mIoU': 60.353152078209206, 'mAcc': 69.12423065037609, 'aAcc': 92.0435930511286, 'fwIoU': 86.12539887910633}, 'lindau': {'mIoU': 60.386402411710115, 'mAcc': 69.17224060456776, 'aAcc': 93.42530854964598, 'fwIoU': 88.13528632140812}, 'munster': {'mIoU': 62.654469123396595, 'mAcc': 70.8323967496059, 'aAcc': 94.7539417677514, 'fwIoU': 90.61688400188437}}"
gen_cycleGAN,cityscapes,segnext_mscan-b_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_cycleGAN/cityscapes/segnext_mscan-b_ratio0p50/test_results_acdc/20260210_022940,20260210_022940,43.38511200627362,58.64263630299552,82.48519728351815,71.7156105289695,2003,True,True,"{'foggy': {'mIoU': 59.64177053497518, 'mAcc': 72.6222158480253, 'aAcc': 91.01294839758756, 'fwIoU': 84.4852213582983}, 'night': {'mIoU': 28.15993964370435, 'mAcc': 46.20423697279145, 'aAcc': 66.93382032821376, 'fwIoU': 50.26204271021816}, 'rainy': {'mIoU': 44.09914608965343, 'mAcc': 60.70046919296062, 'aAcc': 86.00394337907564, 'fwIoU': 79.27987631036052}, 'snowy': {'mIoU': 44.208879137036696, 'mAcc': 57.98377525200474, 'aAcc': 85.61018590880329, 'fwIoU': 76.24160351627955}}"
gen_cycleGAN,cityscapes,segnext_mscan-b_ratio0p50,test_results_detailed,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_cycleGAN/cityscapes/segnext_mscan-b_ratio0p50/test_results_detailed/20260210_022921,20260210_022921,63.663837466119276,73.40367519537712,93.32924820352827,88.23262456966255,500,True,True,"{'frankfurt': {'mIoU': 60.84735988311102, 'mAcc': 71.0177593847049, 'aAcc': 92.08460008905357, 'fwIoU': 86.25582533198622}, 'lindau': {'mIoU': 59.64644032535396, 'mAcc': 68.8925796719381, 'aAcc': 93.91789084763984, 'fwIoU': 89.00333254998277}, 'munster': {'mIoU': 64.17639526969651, 'mAcc': 73.11874451998524, 'aAcc': 94.93496766028203, 'fwIoU': 90.97065906516202}}"
gen_cyclediffusion,cityscapes,mask2former_swin-b_ratio0p50,test_results_acdc,detailed,/scratch/aaa_exchange/AWARE/WEIGHTS_CITYSCAPES_GEN/gen_cyclediffusion/cityscapes/mask2former_swin-b_ratio0p50/test_results_acdc/20260209_195308,20260209_195308,52.28434678961299,69.55972192011987,85.75153618048701,75.82318442768344,2003,True,True,"{'foggy': {'mIoU': 66.1008629065995, 'mAcc': 80.33231213982116, 'aAcc': 93.68202823555247, 'fwIoU': 88.77388633075935}, 'night': {'mIoU': 35.70886311181235, 'mAcc': 55.559656581400496, 'aAcc': 70.27351654651368, 'fwIoU': 54.102716204472614}, 'rainy': {'mIoU': 54.18746281193151, 'mAcc': 73.89268381567078, 'aAcc': 90.83695590027784, 'fwIoU': 84.58644168004349}, 'snowy': {'mIoU': 52.713868380859296, 'mAcc': 68.21128799357318, 'aAcc': 87.86823004866406, 'fwIoU': 79.30902126063387}}"
