strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
baseline,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/baseline/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.21,83.53,92.63,86.83000183105469,1767719587.2492127,False,False
baseline,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/baseline/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,74.15,82.78,91.99,85.75,1767719587.2911773,False,False
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.63,54.38,96.46,93.37000274658203,1767719587.5165842,False,False
gen_Attribute_Hallucination,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,47.81,53.03,95.73,92.41999816894531,1767719587.5550385,False,False
gen_Attribute_Hallucination,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/pspnet_r50/test_results/test/metrics.json,57.62,61.82,97.06,94.38999938964844,1767719587.5882192,False,False
gen_Attribute_Hallucination,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.75,59.09,96.89,94.12000274658203,1767719587.6143441,False,False
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/segformer_mit-b5/test_results/test/metrics.json,65.51,69.08,97.6,95.37999725341797,1767719587.64638,False,False
gen_Attribute_Hallucination,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,64.45,69.12,97.43,95.0999984741211,1767719587.677532,False,False
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.11,78.26,98.23,96.69999694824219,1767719587.7079017,False,False
gen_Attribute_Hallucination,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,69.41,75.14,97.7,95.7300033569336,1767719587.7383554,False,False
gen_Attribute_Hallucination,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/pspnet_r50/test_results/test/metrics.json,76.49,81.8,98.34,96.91000366210938,1767719587.770659,False,False
gen_Attribute_Hallucination,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.54,78.93,98.04,96.33999633789062,1767719587.7960956,False,False
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.2,90.74,98.75,97.6500015258789,1767719587.8284695,False,False
gen_Attribute_Hallucination,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.77,86.24,98.49,97.16000366210938,1767719587.8590026,False,False
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,28.74,41.81,60.22,44.09000015258789,1767719587.893815,False,False
gen_Attribute_Hallucination,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,32.24,44.7,65.51,49.70000076293945,1767719587.9219966,False,False
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,33.23,47.36,65.98,50.0,1767719587.9495218,False,False
gen_Attribute_Hallucination,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,31.73,47.39,63.67,47.02000045776367,1767719587.9819093,False,False
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,70.12,74.45,95.08,90.80999755859375,1767719588.0148964,False,False
gen_Attribute_Hallucination,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Attribute_Hallucination/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,66.0,70.92,93.94,88.8499984741211,1767719588.0495312,False,False
