strategy,dataset,model,test_type,result_type,metrics_file,mIoU,mAcc,aAcc,fwIoU,timestamp,has_per_domain,has_per_class
gen_IP2P,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.54,76.82,97.94,96.16000366210938,1767719591.8744378,False,False
gen_IP2P,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/pspnet_r50/test_results/test/metrics.json,76.43,81.58,98.35,96.91999816894531,1767719592.5534015,False,False
gen_IP2P,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.12,78.28,97.84,95.94999694824219,1767719592.589421,False,False
gen_IP2P,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.18,90.74,98.74,97.63999938964844,1767719592.6343148,False,False
gen_IP2P,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.11,85.63,98.48,97.1500015258789,1767719592.670391,False,False
gen_IP2P,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,28.45,42.73,59.27,42.86000061035156,1767719592.7042506,False,False
gen_IP2P,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,28.21,39.62,61.01,44.790000915527344,1767719592.7411237,False,False
gen_IP2P,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,29.4,46.77,60.42,42.720001220703125,1767719592.773654,False,False
gen_IP2P,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,33.68,46.88,66.92,51.2400016784668,1767719592.8052127,False,False
gen_IP2P,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,69.09,73.82,94.53,89.8499984741211,1767719592.8404415,False,False
gen_IP2P,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,64.81,69.42,93.66,88.22000122070312,1767719592.8668923,False,False
gen_IP2P,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,55.62,66.74,85.81,76.9800033569336,1767719592.9039826,False,False
gen_IP2P,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,57.08,67.92,86.11,77.0199966430664,1767719592.941611,False,False
gen_IP2P,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/pspnet_r50/test_results/test/metrics.json,64.78,73.98,89.32,82.0199966430664,1767719592.979298,False,False
gen_IP2P,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,61.6,71.13,87.71,79.26000213623047,1767719593.017673,False,False
gen_IP2P,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/segformer_mit-b5/test_results/test/metrics.json,76.02,84.48,93.05,87.44000244140625,1767719593.0583136,False,False
gen_IP2P,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_IP2P/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.46,82.3,91.96,85.69000244140625,1767719593.0937388,False,False
gen_Img2Img,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.64,53.85,96.52,93.44999694824219,1767719593.3360875,False,False
gen_Img2Img,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,52.86,57.81,96.61,93.61000061035156,1767719593.3698604,False,False
gen_Img2Img,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/pspnet_r50/test_results/test/metrics.json,58.07,62.5,97.23,94.70999908447266,1767719593.3999503,False,False
gen_Img2Img,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.69,59.12,96.86,94.04000091552734,1767719593.436748,False,False
gen_Img2Img,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/segformer_mit-b5/test_results/test/metrics.json,67.85,71.74,97.66,95.4800033569336,1767719593.4725156,False,False
gen_Img2Img,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,62.32,66.86,97.33,94.91000366210938,1767719593.5077338,False,False
gen_Img2Img,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.89,78.96,98.35,96.91999816894531,1767719593.540806,False,False
gen_Img2Img,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.27,76.41,97.93,96.12999725341797,1767719593.5710888,False,False
gen_Img2Img,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/pspnet_r50/test_results/test/metrics.json,74.95,79.94,98.31,96.83999633789062,1767719593.6103354,False,False
gen_Img2Img,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.71,78.61,98.08,96.38999938964844,1767719593.6409316,False,False
gen_Img2Img,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.39,89.67,98.75,97.6500015258789,1767719593.6725059,False,False
gen_Img2Img,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.08,85.37,98.45,97.08000183105469,1767719593.7012377,False,False
gen_Img2Img,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,26.49,42.15,56.12,39.04999923706055,1767719593.7253573,False,False
gen_Img2Img,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,31.65,43.74,65.05,49.130001068115234,1767719593.7617168,False,False
gen_Img2Img,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,30.51,46.61,61.94,45.029998779296875,1767719593.796685,False,False
gen_Img2Img,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,32.85,47.07,65.43,49.5,1767719593.8422904,False,False
gen_Img2Img,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,65.51,70.65,93.56,88.18000030517578,1767719593.8831947,False,False
gen_Img2Img,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,70.83,75.84,94.31,89.41999816894531,1767719593.9235244,False,False
gen_Img2Img,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,54.26,65.84,85.8,76.86000061035156,1767719593.9682376,False,False
gen_Img2Img,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,55.05,65.78,85.34,76.08000183105469,1767719594.0099251,False,False
gen_Img2Img,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/pspnet_r50/test_results/test/metrics.json,63.51,72.6,88.72,81.16999816894531,1767719594.052298,False,False
gen_Img2Img,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,61.82,71.19,87.66,79.19999694824219,1767719594.08296,False,False
gen_Img2Img,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.59,84.44,92.77,87.16999816894531,1767719594.1263871,False,False
gen_Img2Img,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Img2Img/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.99,82.61,91.93,85.63999938964844,1767719594.168674,False,False
gen_LANIT,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,48.38,52.94,96.4,93.27999877929688,1767719594.4212792,False,False
gen_LANIT,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,52.88,58.37,96.67,93.77999877929688,1767719594.4563394,False,False
gen_LANIT,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/pspnet_r50/test_results/test/metrics.json,54.85,59.16,96.88,94.06999969482422,1767719594.4810143,False,False
gen_LANIT,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,53.32,57.5,96.81,93.94999694824219,1767719594.506656,False,False
gen_LANIT,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/segformer_mit-b5/test_results/test/metrics.json,67.6,71.44,97.69,95.54000091552734,1767719594.5385826,False,False
gen_LANIT,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.74,67.97,97.38,94.9800033569336,1767719594.5702066,False,False
gen_LANIT,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.97,78.97,98.36,96.94999694824219,1767719594.6005666,False,False
gen_LANIT,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,69.55,74.81,97.64,95.58999633789062,1767719594.6293101,False,False
gen_LANIT,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/pspnet_r50/test_results/test/metrics.json,77.21,82.12,98.42,97.05000305175781,1767719594.667598,False,False
gen_LANIT,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.31,78.56,97.95,96.16000366210938,1767719594.6941228,False,False
gen_LANIT,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/segformer_mit-b5/test_results/test/metrics.json,85.02,90.36,98.76,97.66000366210938,1767719594.7266934,False,False
gen_LANIT,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.96,86.48,98.45,97.0999984741211,1767719594.7617514,False,False
gen_LANIT,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,30.23,43.12,62.47,46.5,1767719594.8123062,False,False
gen_LANIT,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,31.39,43.22,64.97,49.02000045776367,1767719594.842556,False,False
gen_LANIT,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,32.65,46.31,65.37,49.47999954223633,1767719594.8784516,False,False
gen_LANIT,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,36.64,47.7,71.98,56.72999954223633,1767719594.9116895,False,False
gen_LANIT,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,67.73,72.23,94.44,89.66000366210938,1767719594.945522,False,False
gen_LANIT,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,68.06,72.83,94.29,89.41999816894531,1767719594.983033,False,False
gen_LANIT,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,56.58,66.53,86.12,77.44999694824219,1767719595.0113728,False,False
gen_LANIT,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,56.54,68.07,85.55,76.44000244140625,1767719595.050091,False,False
gen_LANIT,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/pspnet_r50/test_results/test/metrics.json,62.79,71.82,88.73,81.05000305175781,1767719595.0808127,False,False
gen_LANIT,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,61.49,71.17,87.67,79.41000366210938,1767719595.1090727,False,False
gen_LANIT,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/segformer_mit-b5/test_results/test/metrics.json,75.57,84.14,92.95,87.29000091552734,1767719595.1401794,False,False
gen_LANIT,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_LANIT/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.89,82.71,92.0,85.75,1767719595.1707711,False,False
gen_NST,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,49.9,54.29,96.59,93.58999633789062,1767719595.8630242,False,False
gen_NST,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,50.56,55.19,96.29,93.06999969482422,1767719595.8872328,False,False
gen_NST,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/pspnet_r50/test_results/test/metrics.json,58.02,61.89,97.12,94.5,1767719595.914051,False,False
gen_NST,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.57,59.56,96.86,94.05999755859375,1767719595.9398904,False,False
gen_NST,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/segformer_mit-b5/test_results/test/metrics.json,68.94,72.73,97.66,95.4800033569336,1767719595.969421,False,False
gen_NST,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,63.15,67.59,97.44,95.0999984741211,1767719595.999825,False,False
gen_NST,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,71.97,77.41,98.08,96.44000244140625,1767719596.0252159,False,False
gen_NST,idd-aw,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,71.25,77.1,97.92,96.13999938964844,1767719596.0534859,False,False
gen_NST,idd-aw,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/pspnet_r50/test_results/test/metrics.json,77.58,82.89,98.38,96.97000122070312,1767719596.0795226,False,False
gen_NST,idd-aw,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/pspnet_r50_clear_day/test_results/test/metrics.json,73.09,78.74,97.81,95.91000366210938,1767719596.1078286,False,False
gen_NST,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.72,90.05,98.76,97.66999816894531,1767719596.1403646,False,False
gen_NST,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,79.45,84.65,98.43,97.05999755859375,1767719596.1649451,False,False
gen_NST,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,30.15,45.25,61.46,44.869998931884766,1767719596.1936502,False,False
gen_NST,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,29.79,43.16,61.59,45.5099983215332,1767719596.2256758,False,False
gen_NST,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,33.99,47.04,67.33,51.77000045776367,1767719596.2527485,False,False
gen_NST,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,32.83,48.55,65.12,48.650001525878906,1767719596.2849731,False,False
gen_NST,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.47,73.84,94.26,89.48999786376953,1767719596.3106134,False,False
gen_NST,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,66.29,71.09,93.68,88.30000305175781,1767719596.3396604,False,False
gen_NST,outside15k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/deeplabv3plus_r50/test_results/test/metrics.json,56.75,66.8,86.56,77.88999938964844,1767719596.3729298,False,False
gen_NST,outside15k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,53.46,64.73,84.53,75.01000213623047,1767719596.3985088,False,False
gen_NST,outside15k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/pspnet_r50/test_results/test/metrics.json,64.08,72.91,89.1,81.80000305175781,1767719596.4232485,False,False
gen_NST,outside15k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/pspnet_r50_clear_day/test_results/test/metrics.json,62.74,71.79,87.78,79.63999938964844,1767719596.4503546,False,False
gen_NST,outside15k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/segformer_mit-b5/test_results/test/metrics.json,74.79,83.47,92.61,86.87999725341797,1767719596.4758596,False,False
gen_NST,outside15k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_NST/outside15k/segformer_mit-b5_clear_day/test_results/test/metrics.json,73.51,82.34,91.9,85.56999969482422,1767719596.501713,False,False
gen_Qwen_Image_Edit,idd-aw,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/idd-aw/segformer_mit-b5/test_results/test/metrics.json,84.57,90.12,98.76,97.66999816894531,1767719596.692297,False,False
gen_Qwen_Image_Edit,idd-aw,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/idd-aw/segformer_mit-b5_clear_day/test_results/test/metrics.json,80.74,86.04,98.49,97.16000366210938,1767719596.7181308,False,False
gen_Qwen_Image_Edit,mapillaryvistas,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/deeplabv3plus_r50/test_results/test/metrics.json,20.43,31.06,48.39,33.150001525878906,1767719596.7491682,False,False
gen_Qwen_Image_Edit,mapillaryvistas,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,33.26,44.78,67.66,51.79999923706055,1767719596.7781715,False,False
gen_Qwen_Image_Edit,mapillaryvistas,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/pspnet_r50/test_results/test/metrics.json,34.55,48.65,67.68,51.97999954223633,1767719596.80559,False,False
gen_Qwen_Image_Edit,mapillaryvistas,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/pspnet_r50_clear_day/test_results/test/metrics.json,30.04,47.13,61.3,43.83000183105469,1767719596.8361156,False,False
gen_Qwen_Image_Edit,mapillaryvistas,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/segformer_mit-b5/test_results/test/metrics.json,68.7,74.08,94.33,89.62000274658203,1767719596.8684826,False,False
gen_Qwen_Image_Edit,mapillaryvistas,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_Qwen_Image_Edit/mapillaryvistas/segformer_mit-b5_clear_day/test_results/test/metrics.json,67.77,72.89,93.84,88.62000274658203,1767719596.8953354,False,False
gen_SUSTechGAN,bdd10k,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/deeplabv3plus_r50/test_results/test/metrics.json,48.97,53.72,96.35,93.18000030517578,1767719597.09881,False,False
gen_SUSTechGAN,bdd10k,deeplabv3plus_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/deeplabv3plus_r50_clear_day/test_results/test/metrics.json,46.79,51.79,95.73,92.13999938964844,1767719597.126639,False,False
gen_SUSTechGAN,bdd10k,pspnet_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/pspnet_r50/test_results/test/metrics.json,59.93,63.99,97.28,94.77999877929688,1767719597.1520753,False,False
gen_SUSTechGAN,bdd10k,pspnet_r50_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/pspnet_r50_clear_day/test_results/test/metrics.json,54.01,58.27,96.83,93.98999786376953,1767719597.179273,False,False
gen_SUSTechGAN,bdd10k,segformer_mit-b5,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/segformer_mit-b5/test_results/test/metrics.json,67.04,70.99,97.64,95.44999694824219,1767719597.2029421,False,False
gen_SUSTechGAN,bdd10k,segformer_mit-b5_clear_day,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/bdd10k/segformer_mit-b5_clear_day/test_results/test/metrics.json,61.96,66.2,97.48,95.18000030517578,1767719597.227279,False,False
gen_SUSTechGAN,idd-aw,deeplabv3plus_r50,test_results,basic,/scratch/aaa_exchange/AWARE/WEIGHTS/gen_SUSTechGAN/idd-aw/deeplabv3plus_r50/test_results/test/metrics.json,73.0,77.97,98.21,96.66999816894531,1767719597.2594995,False,False
