Domain,Stage 1,Stage 2,Gain,% Images
Clear Day,41.05450115925843,43.83601374303581,2.7815125837773778,62.92827212225782
Dawn/Dusk,31.781733180768395,37.260179255804275,5.47844607503588,2.6292005587051186
Night,26.198024956560392,33.83533880486122,7.637313848300831,2.900336866321584
Rainy,33.51986952468384,41.62069025018248,8.100820725498636,6.260783830416564
Snowy,32.26940692435761,43.124643740199254,10.855236815841643,5.907485005340564
