Dataset,Stage 1,Stage 2,Clear Day,Avg Adverse,Domain Gap
BDD10K,41.31879101048387,43.8743488617377,46.387688569712985,41.99284946832804,4.394839101384946
IDD-AW,29.748782722365664,46.90723363289538,44.535814673393446,44.523774537392654,0.01204013600079179
Mapillary,32.091843475377026,,,,
OUTSIDE15K,30.089564327809114,33.107626522215945,40.584537986001,30.364015032564723,10.22052295343628
